node,layer,trans_foll_time,mul_foll_time,layer_time,real_trans_time,trusted_verification_time
1,1,,,0.24955058097839355,0.0,0.0
1,2,,,0.914492130279541,0.0,0.0
1,3,1.3590216636657715,0.41044116020202637,2.137479305267334,0.44452953338623047,0.8549706935882568
1,4,2.760664463043213,0.4094083309173584,3.53784441947937,0.6231851577758789,1.0325934886932373
1,5,3.5226619243621826,0.5378060340881348,4.425167083740234,-0.0151824951171875,0.5226235389709473
1,6,4.709078073501587,0.40807676315307617,5.482680082321167,0.28391098976135254,0.6919877529144287
1,7,6.038445472717285,0.41101694107055664,6.812780857086182,0.5557653903961182,0.9667823314666748
1,8,6.989808797836304,0.4081246852874756,7.472990274429321,0.17702794075012207,0.5851526260375977
2,1,,,0.16968369483947754,0.0,0.0
2,2,,,0.9950602054595947,0.0,0.0
2,3,1.4076759815216064,0.4099709987640381,2.181382179260254,0.4126157760620117,0.8225867748260498
2,4,2.5454177856445312,0.41042089462280273,3.3210864067077637,0.36403560638427734,0.7744565010070801
2,5,3.62142276763916,0.5302326679229736,4.515023469924927,0.3003363609313965,0.8305690288543701
2,6,5.197184801101685,0.40813612937927246,5.9747633934021,0.6821613311767578,1.0902974605560303
2,7,5.936816215515137,0.4106576442718506,6.710844993591309,-0.03794717788696289,0.3727104663848877
2,8,7.313876390457153,0.4087636470794678,7.798338890075684,0.6030313968658447,1.0117950439453125
3,1,,,0.13848352432250977,0.0,0.0
3,2,,,0.9223861694335938,0.0,0.0
3,3,1.3919296264648438,0.4092423915863037,2.166943311691284,0.46954345703125,0.8787858486175537
3,4,2.676018476486206,0.4083244800567627,3.449521064758301,0.5090751647949219,0.9173996448516846
3,5,3.6647074222564697,0.5381345748901367,4.57069993019104,0.21518635749816895,0.7533209323883057
3,6,4.93688440322876,0.4074714183807373,5.70854640007019,0.3661844730377197,0.773655891418457
3,7,5.97432804107666,0.40981173515319824,6.7495739459991455,0.2657816410064697,0.675593376159668
3,8,7.2943854331970215,0.40839314460754395,7.77842116355896,0.544811487197876,0.9532046318054199
4,1,,,0.15613007545471191,0.0,0.0
4,2,,,0.5495133399963379,0.0,0.0
4,3,0.9971468448638916,0.4083585739135742,1.7765488624572754,0.4476335048675537,0.8559920787811279
4,4,2.242389678955078,0.4097259044647217,3.0218868255615234,0.46584081649780273,0.8755667209625244
4,5,3.371356248855591,0.5375659465789795,4.272460699081421,0.3494694232940674,0.8870353698730469
4,6,4.605470657348633,0.4076662063598633,5.37618088722229,0.3330099582672119,0.7406761646270752
4,7,5.607803821563721,0.4099893569946289,6.380742073059082,0.23162293434143066,0.6416122913360596
4,8,6.896904468536377,0.4089818000793457,7.398435354232788,0.5161623954772949,0.9251441955566406
