layer, avg_trusted_verification_time, num_nodes
    0, 0.0                          ,         4
    1, 0.0                          ,         4
    2, -0.3981437683105469          ,         4
    3, 1.6343351006507874           ,         4
    4, 0.6829295754432678           ,         4
    5, 1.3789873123168945           ,         4
    6, 0.6578798294067383           ,         4
    7, 0.5844775438308716           ,         4
    8, 0.47445034980773926          ,         4
    9, 1.8562785983085632           ,         4
   10, 0.6737217903137207           ,         4
   11, 1.727964460849762            ,         4
